Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.eu.imaging-r4.json	52257	-	0	0	0	0	0	0	18	97	0	0	0	0	0	0	0	2	0	0	202	269	0	0	0	18	0	1
fsh-generated/resources/ActorDefinition-ImManifestProvider.json	323	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	20	31	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-ImReportProvider.json	313	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Hl7EuDocumentTypes.json	1391	5	0	0	0	0	0	0	1	14	0	0	1	0	0	0	0	0	0	0	21	4050	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-codesystem-diagnostic-report-support-info.json	813	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	16	154	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-codesystem-endpoint-terminology.json	937	6	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	114	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-codesystem-missing-dicom-terminology.json	3113	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	135	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AllergyIntoleranceEu.json	2212	5	0	52	0	0	0	0	1	75	0	0	0	0	0	0	0	1	0	0	144	577	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-BodyStructureEu.json	1310	8	0	29	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	70	282	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-CarePlanEu.json	3647	5	0	88	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	0	188	445	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-CompositionEu.json	2568	4	0	68	0	0	0	0	0	29	0	0	1	0	0	0	0	0	0	0	185	453	0	0	0	25	0	1
fsh-generated/resources/StructureDefinition-ConditionEu.json	2259	4	0	51	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	145	1506	0	0	0	17	0	0
fsh-generated/resources/StructureDefinition-CrossVersionMediaViewExtension.json	1751	6	0	26	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	56	115	0	0	0	6	0	0
