URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_33.html,2022.4.20221006,active,"1.2.840.10008.6.1.1283",Modality,,"Transitive closure of CID 33 Modality","StructureDefinition/ext-R5-DocumentReference.modality","Internal"
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_7010.html,2022.4.20221006,active,"1.2.840.10008.6.1.490",KeyObjectSelectionDocumentTitle,,"Transitive closure of CID 7010 KeyObjectSelectionDocumentTitle","StructureDefinition/ext-R5-ImagingSelection","Internal"
http://hl7.eu/fhir/imaging-r4/ValueSet/ImImagingManifestTypesEuVS,0.1.0-ballot,draft,,ImImagingManifestTypesEuVS,HL7 EU Imaging Manifest Types,"HL7 EU Imaging Manifest Types used in Compositions and DiagnosticReports.","StructureDefinition/ImManifestIheMhdDocumentReference","Internal"
http://hl7.eu/fhir/imaging-r4/ValueSet/ImImagingReportTypesEuVS,0.1.0-ballot,draft,,ImImagingReportTypesEuVS,HL7 EU Imaging Report Types,"HL7 EU Imaging Report Types used in Compositions and DiagnosticReports.","StructureDefinition/ImComposition,StructureDefinition/ImReportIheMhdDocumentReference","Internal"
http://hl7.eu/fhir/imaging-r4/ValueSet/ImSectionEmptyReason,0.1.0-ballot,draft,,ImSectionEmptyReason,Reasons a section in an imaging report is empty.,"Reasons a section in an imaging report is empty.","StructureDefinition/ImComposition","LOINC,THO"
http://hl7.eu/fhir/imaging-r4/ValueSet/im-dose-length-units,0.1.0-ballot,draft,,ImDoseLengthUnits,Dose Length Units,"Units for Dose Length.","StructureDefinition/ImRadiationDoseObservation","UCUM"
http://hl7.eu/fhir/imaging-r4/ValueSet/im-effective-dose-units,0.1.0-ballot,draft,,ImEffectiveDoseUnits,Effective Dose Units,"Units for Effective Dose.","StructureDefinition/ImRadiationDoseObservation","UCUM"
http://hl7.eu/fhir/imaging-r4/ValueSet/im-gray-square-units,0.1.0-ballot,draft,,ImGraySquareUnits,Gray Square Units,"Units for Gray Square.","StructureDefinition/ImRadiationDoseObservation","UCUM"
http://hl7.eu/fhir/imaging-r4/ValueSet/im-imaging-device-type,0.1.0-ballot,draft,,ImImagingDeviceType,Imaging Device Type,"Imaging Device Type.",,"SCT"
http://hl7.eu/fhir/imaging-r4/ValueSet/im-imaging-study-performer-type,0.1.0-ballot,draft,,ImImagingStudyPerformerTypeVS,Imaging Study Performer Type Value Set,"Imaging Study series performer type codes, it extends on the base set defined in the FHIR specification.","StructureDefinition/ImImagingStudy","THO (V3)"
http://hl7.eu/fhir/imaging-r4/ValueSet/im-procedure-type,0.1.0-ballot,draft,,ImProcedureType,Imaging Procedure Type,"This value set includes all imaging procedure types.","StructureDefinition/ImProcedure","SCT"
